H,BRANCH,CITY,STATE,ZIP,PART NO,QTY, ,IVC NBR,DATE,COST,PRICE,RES.EXT,ACCT.,NAME,CUST PO#,SHIP DATE,SHIP NBR,COUNTRY CODE,ID,CURRENCY CODE,EXCHANGE RATE,ID,CURRENCY CODE,EXCHANGE DATE
L,WEB,FUKUI-CITY,EX,9100015,SIT8008BI-22-33E-64.000000G,5, ,55968946,20200306,0.511,1.24,6.2,5741654,"MARUTSUELEC CO.,LTD.",6-89184_5/30-80726,20200306,,JP,BY,USD,1,SE,USD,20200306
L,WEB,TSUEN WAN,EX,0,SiT9120AI-2C3-33E200.000000X,13, ,55969816,20200306,1.596,2.95,38.35,5699043,GOSONIC LOGISTIC LTD,AVAN0030496,20200306,,HK,BY,USD,1,SE,USD,20200306
L,FR,CLEURIE,EX,88120,SIT2001BI-S2-33E-50.000000G,50, ,55969827,20200306,0.452,1.013,50.65,5962685,ASTEELFLASH FRANCE ETS. LORRAINE,PRL20021,20200306,,FR,BY,USD,1,SE,USD,20200306
L,TX,"SEOUL, KOREA",EX,8584,SIT8924BA-22-33E-20.000000G,10, ,55969997,20200306,1.475,2.73,27.3,5787423,ICBANQ (C),B200306020905,20200306,,KR,BY,USD,1,SE,USD,20200306
L,WEB,KILSYTH,NL,G659BS,SIT1602AC-13-33E-33.333330G,-20, ,55973466,20200306,0.455,1.033,-20.66,5779325,KELVINSIDE ELECTRONICS,97869,20200306,,GB,BY,USD,1,SE,USD,20200306
L,TX,SAN JOSE,CA,95119,SiT1533AI-H4-DCC-32.768E,1000, ,55975127,20200306,0.416,0.416,416,1698267,RFMW LTD,1072920,20200306,,US,BY,USD,1,SE,USD,20200306
L,WEB,MONTREAL,QC,H1Y 3L1,SiT5155AI-FK-33VT-10.000000X,5, ,55975167,20200306,14.7824,26.352,131.76,5725577,EFFIGIS GEOSOLUTIONS,7319,20200306,,CA,BY,USD,1,SE,USD,20200306
L,WEB,SAN DIEGO,CA,92121,SiT8021AI-J4-18S-24.000000E,160, ,55976982,20200306,0.457,0.786,125.76,1652651,"CONCISYS INC., GROUND",BAY519585-2,20200306,,US,BY,USD,1,SE,USD,20200306
L,WEB,NUTLEY,NJ,7110,SIT8924BA-73-18E-25.000000G,35, ,55979262,20200306,1.124,1.62,56.7,1135120,PNC INC,50047,20200306,,US,BY,USD,1,SE,USD,20200306
L,WEB,"SANTIAGO DE QUERETARO, QRO.",QT,76125,SIT8924BM-71-33E-1.000000G,4, ,55979695,20200306,2.809,7.66,30.64,5972330,CENTRO DE INGENIERIA Y DESARROLLO INDUSTRIAL,100127615,20200306,,MX,BY,USD,1,SE,USD,20200306
L,WEB,SAN FRANCISCO,CA,94103,SiT8021AI-J4-18S-24.000000E,32, ,55980576,20200306,0.457,0.881,28.192,1403022,Natural Person,12483-10,20200306,,US,BY,USD,1,SE,USD,20200306
L,CA,SAN JOSE,CA,95131,SIT1552AI-JE-DCC-32.768E,65, ,55980590,20200306,0.851,1.97,128.05,1749688,ADVANCED ASSEMBLY LLC,149679GREEN030620,20200306,,US,BY,USD,1,SE,USD,20200306
L,DE,ST.MARIENKIRCHEN,EX,4774,SiT1532AI-J4-D14-32.768E,40, ,55927075,20200307,0.457,1.006,40.24,5896919,FRAUSCHER SENSORTECHNIK GMBH,BBA-046887,20200307,,AT,BY,USD,1,SE,USD,20200307
L,DE,ST.MARIENKIRCHEN,EX,4774,SiT8021AI-J4-XXS-4.000000E,40, ,55927075,20200307,0.457,1.563,62.52,5896919,FRAUSCHER SENSORTECHNIK GMBH,BBA-046887,20200307,,AT,BY,USD,1,SE,USD,20200307
L,TX,BRAINERD,MN,56401,SIT1552AI-JF-DCC-32.768D,500, ,55982526,20200307,0.784,1.26,630,1525018,ATEK ACCESS TECHNOLOGIES-BRAINERD,32102-02,20200309,,US,BY,USD,1,SE,USD,20200307
L,WEB,NEWPORT,NW,NP10 9YA,SIT1552AI-JE-DCC-32.768E,100, ,55956962,20200309,0.851,1.787,178.7,5878032,TT ELECTRONICS LTD,PO-084103,20200309,,GB,BY,USD,1,SE,USD,20200309
L,WEB,NEWPORT,NW,NP10 9YA,SiT8021AC-J4-18S-24.000000E,100, ,55956962,20200309,0.416,0.895,89.5,5878032,TT ELECTRONICS LTD,PO-084103,20200309,,GB,BY,USD,1,SE,USD,20200309
L,WEB,CHANGSHA CITY,HN,410000,SIT2024BM-S2-33E-40.000000G,12, ,55966190,20200309,2.247,4.534,54.408,5A2B090,Natural Person,18436189,20200309,,CN,BY,USD,1,SE,USD,20200309
L,WEB,SEOUL,EX,8217,SiT5021AI-2DE-33VM125.000000X,55, ,55973398,20200309,6.88,10.12,556.6,5210778,SKYWORKS,18523265,20200309,,KR,BY,USD,1,SE,USD,20200309
L,WEB,BELGRADE,EX,11000,SIT8924BM-71-33E-20.000000G,13, ,55973474,20200309,2.809,5.521,71.773,5363878,NOVELIC D.O.O.,18522285,20200309,,RS,BY,USD,1,SE,USD,20200309
L,WEB,ST.PETERSBURG,EX,194223,SIT9120AI-2D3-33E200.000000X,70, ,55973795,20200309,1.596,2.53,177.1,5354700,PM ELECTRONICS,PM-867/20,20200309,,RU,BY,USD,1,SE,USD,20200309
L,WEB,KIEV,EX,3110,SIT9121AI-2C2-33E125.000000X,6, ,55976211,20200309,2.1073,4.43,26.58,5840941,EVOCOM.UA,12569,20200309,,UA,BY,USD,1,SE,USD,20200309
